=== Selectivity-DES Pipeline: Ni2+ over Co2+ ===
Outer cycles run: 2 | Converged: yes
Shortlisted ligands: 5 | DES-compatible: 4
====================================================

--- Section 1: Selectivity Results ---

ligand | log_k_target | log_k_competitor | delta_log_k | score | des_compatible
O=C(O)CN(CC(=O)O)CC(=O)O | 14.86 | 14.78 | 0.08 | 5.99 | no
O=C(O)CNCC(=O)O | 13.07 | 12.99 | 0.08 | 5.28 | yes
O=C(O)c1ccccc1O | 11.75 | 11.67 | 0.08 | 4.75 | yes
NCC(=O)O | 11.23 | 11.15 | 0.08 | 4.54 | yes
Oc1ccccc1O | 10.89 | 10.81 | 0.08 | 4.41 | yes
Oc1cccc2ncccc12 | 10.87 | 10.79 | 0.08 | 4.40 | no
c1cnc2ccc3ncccc3c2c1 | 10.84 | 10.76 | 0.08 | 4.39 | no
CC(=O)NO | 10.58 | 10.50 | 0.08 | 4.28 | no
c1ccc(-c2ccccn2)nc1 | 10.45 | 10.37 | 0.08 | 4.23 | no
CC(=O)CC(C)=O | 9.39 | 9.31 | 0.08 | 3.80 | no

--- Section 2: DES Partners ---

Ligand: O=C(O)CN(CC(=O)O)CC(=O)O  (score=5.99, ΔlogK=0.08) — DES-compatible: NO
  partner | min_tm_k | eutectic_ratio | tm_src | rationale
  CC(=O)N | 336.2 | 0.10 | experimental (0.95) | min Tm=336.19 K, absolute<= 350.00 K, relative_drop=0.050
  OC[C@H](O)[C@H](O)CO | 373.6 | 0.10 | experimental (0.95) | min Tm=373.62 K, absolute<= 350.00 K, relative_drop=0.053
  NC(=O)N | 375.8 | 0.10 | experimental (0.95) | min Tm=375.76 K, absolute<= 350.00 K, relative_drop=0.074
  C[N+](C)(C)C.[Cl-] | 406.3 | 0.50 | experimental (0.95) | min Tm=406.32 K, absolute<= 350.00 K, relative_drop=0.118
  CC(=O)O | 365.2 | 0.10 | experimental (0.95) | min Tm=365.20 K, absolute<= 350.00 K, relative_drop=-0.260
  CNCCOC | 301.1 | 0.10 | qspr (0.71) | min Tm=301.12 K, absolute<= 350.00 K, relative_drop=-0.388
  CS(=O)(=O)C | 320.5 | 0.10 | qspr (0.40) | min Tm=320.53 K, absolute<= 350.00 K, relative_drop=-0.201
  OCC(O)CO | 354.7 | 0.10 | experimental (0.95) | min Tm=354.74 K, absolute<= 350.00 K, relative_drop=-0.218
  CCCOCCC | 284.1 | 0.10 | qspr (0.60) | min Tm=284.08 K, absolute<= 350.00 K, relative_drop=-0.450
  O=C1NC(=O)NC1 | 388.6 | 0.30 | qspr (0.40) | min Tm=388.60 K, absolute<= 350.00 K, relative_drop=0.156
  CCCCOCC | 278.4 | 0.10 | qspr (0.74) | min Tm=278.37 K, absolute<= 350.00 K, relative_drop=-0.543
  C[N+](C)(C)CCO.[Cl-] | 388.3 | 0.40 | experimental (0.95) | min Tm=388.30 K, absolute<= 350.00 K, relative_drop=0.157
  CCOCC | 309.6 | 0.10 | qspr (0.78) | min Tm=309.60 K, absolute<= 350.00 K, relative_drop=-0.981
  CN(C)C=O | 328.5 | 0.10 | qspr (0.78) | min Tm=328.53 K, absolute<= 350.00 K, relative_drop=-0.555
  O=C1CCCN1 | 356.4 | 0.10 | qspr (0.81) | min Tm=356.40 K, absolute<= 350.00 K, relative_drop=-0.100
  O | 364.1 | 0.10 | qspr (0.40) | min Tm=364.09 K, absolute<= 350.00 K, relative_drop=-0.392
  CN | 354.6 | 0.10 | qspr (0.67) | min Tm=354.60 K, absolute<= 350.00 K, relative_drop=-1.022
  CS(=O)C | 330.9 | 0.10 | qspr (0.50) | min Tm=330.89 K, absolute<= 350.00 K, relative_drop=-0.312
  COCCCN | 297.1 | 0.10 | qspr (0.69) | min Tm=297.14 K, absolute<= 350.00 K, relative_drop=-0.212
  OCCO | 360.9 | 0.10 | experimental (0.95) | min Tm=360.85 K, absolute<= 350.00 K, relative_drop=-0.385
  OCCCO | 360.7 | 0.10 | qspr (0.61) | min Tm=360.73 K, absolute<= 350.00 K, relative_drop=-0.229
  CC(=O)NCCO | 329.9 | 0.10 | qspr (0.64) | min Tm=329.92 K, absolute<= 350.00 K, relative_drop=0.076
  OC1=CC=CC=N1 | 355.4 | 0.10 | qspr (0.52) | min Tm=355.35 K, absolute<= 350.00 K, relative_drop=-0.142
  COCCO | 317.7 | 0.10 | qspr (0.79) | min Tm=317.75 K, absolute<= 350.00 K, relative_drop=-0.553

Ligand: O=C(O)CNCC(=O)O  (score=5.28, ΔlogK=0.08) — DES-compatible: YES
  partner | min_tm_k | eutectic_ratio | tm_src | rationale
  NC(=O)N | 338.3 | 0.20 | experimental (0.95) | min Tm=338.28 K, absolute<= 350.00 K, relative_drop=0.166
  CC(=O)NCCO | 310.6 | 0.20 | qspr (0.64) | min Tm=310.58 K, absolute<= 350.00 K, relative_drop=0.130
  CNCCNC(C)=O | 304.4 | 0.20 | qspr (0.63) | min Tm=304.44 K, absolute<= 350.00 K, relative_drop=0.163
  CC(=O)NCCCN | 301.1 | 0.20 | qspr (0.69) | min Tm=301.07 K, absolute<= 350.00 K, relative_drop=0.156
  OCC(O)CO | 306.2 | 0.10 | experimental (0.95) | min Tm=306.21 K, absolute<= 350.00 K, relative_drop=-0.051
  OCCO | 313.5 | 0.10 | experimental (0.95) | min Tm=313.52 K, absolute<= 350.00 K, relative_drop=-0.203
  CNCCOC | 257.7 | 0.10 | qspr (0.71) | min Tm=257.67 K, absolute<= 350.00 K, relative_drop=-0.188
  OC[C@H](O)[C@H](O)CO | 360.3 | 0.30 | experimental (0.95) | min Tm=360.29 K, absolute<= 350.00 K, relative_drop=0.087
  COCCCN | 265.9 | 0.10 | qspr (0.69) | min Tm=265.90 K, absolute<= 350.00 K, relative_drop=-0.084
  OCCCO | 321.8 | 0.10 | qspr (0.61) | min Tm=321.84 K, absolute<= 350.00 K, relative_drop=-0.097
  C[N+](C)(C)CCO.[Cl-] | 370.2 | 0.40 | experimental (0.95) | min Tm=370.20 K, absolute<= 350.00 K, relative_drop=0.126
  CCCCOCC | 247.2 | 0.10 | qspr (0.74) | min Tm=247.24 K, absolute<= 350.00 K, relative_drop=-0.370
  CCCOCCC | 250.8 | 0.10 | qspr (0.60) | min Tm=250.80 K, absolute<= 350.00 K, relative_drop=-0.281
  CC(=O)O | 323.7 | 0.10 | experimental (0.95) | min Tm=323.68 K, absolute<= 350.00 K, relative_drop=-0.117
  CC(=O)N | 325.0 | 0.20 | experimental (0.95) | min Tm=324.97 K, absolute<= 350.00 K, relative_drop=0.082
  CCOCC | 271.6 | 0.10 | qspr (0.78) | min Tm=271.57 K, absolute<= 350.00 K, relative_drop=-0.738
