smiles,inchikey,tm_k,source
c1ccc(C(c2ccccc2)c2ccccc2)cc1,AAAQKTZKLRYKHR-UHFFFAOYSA-N,367.15,bradley
Clc1cc(Cl)cc(I)c1,AATPRMRVLQZEHB-UHFFFAOYSA-N,329.15,bradley
Cc1cc(C2(c3cc(C)c(O)c(Br)c3)OS(=O)(=O)c3ccccc32)cc(Br)c1O,ABIUHPWEYMSGSR-UHFFFAOYSA-N,514.15,bradley
Cc1ccccc1-c1ccccc1C,ABMKWMASVFVTMD-UHFFFAOYSA-N,291.15,bradley
N#CSCc1ccccc1,ABNDFSOIUFLJAH-UHFFFAOYSA-N,315.15,bradley
Cc1ccc(N=C=S)cc1,ABQKHKWXTUVKGF-UHFFFAOYSA-N,298.15,bradley
COc1ccc2c(c1)no[n+]2[O-],ABSKHUSUHODMEL-UHFFFAOYSA-N,390.15,bradley
CCCCCC(C)(C)O,ACBMYYVZWKYLIP-UHFFFAOYSA-N,222.75,bradley
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,ACGUYXCXAPNIKK-UHFFFAOYSA-N,437.15,bradley
N#CCCc1ccccc1,ACRWYXSKEHUQDB-UHFFFAOYSA-N,271.15,bradley
O=C(O)C(S)C(S)C(=O)O,ACTRVOBWPAIOHC-UHFFFAOYSA-N,470.15,bradley
CCCCCCCCC(C)O,ACUZDYFTRHEKOS-UHFFFAOYSA-N,268.15,bradley
CCC(=O)c1ccc(Cl)cc1,ADCYRBXQAJXJTD-UHFFFAOYSA-N,308.15,bradley
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,ADIMAYPTOBDMTL-UHFFFAOYSA-N,478.15,bradley
C=CCCCCCCCCCCCCCCC,ADOBXTDBFNCOBN-UHFFFAOYSA-N,284.15,bradley
CC(=O)Nc1ccccc1O,ADVGKWPZRIDURE-UHFFFAOYSA-N,478.15,bradley
O=[N+]([O-])c1c(Cl)cc(Cl)cc1Cl,AEBJDOTVYMITIA-UHFFFAOYSA-N,345.15,bradley
N#Cc1ccc(F)cc1,AEKVBBNGWBBYLL-UHFFFAOYSA-N,309.15,bradley
O=C(O)CO,AEMRFAOFKBGASW-UHFFFAOYSA-N,350.8,des
C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,AESCANJJKQXGHE-UHFFFAOYSA-N,318.65,des
CCC(C)(C)CC,AEXMKKGTQYQZCS-UHFFFAOYSA-N,138.15,bradley
CCCC(C)C,AFABGHUZZDYHJO-UHFFFAOYSA-N,119.15,bradley
COc1ccc(/C=C/C(=O)O)cc1,AFDXODALSZRGIH-QPJJXVBHSA-N,446.15,bradley
C=CCCCCCCCC,AFFLGGQVNFXPEV-UHFFFAOYSA-N,207.15,bradley
N#Cc1ccccc1Br,AFMPMSCZPVNPEM-UHFFFAOYSA-N,328.15,bradley
OC1c2ccccc2-c2ccccc21,AFMVESZOYKHDBJ-UHFFFAOYSA-N,426.65,bradley
O=C(O)c1cccc([N+](=O)[O-])c1,AFPHTEQTJZKQAQ-UHFFFAOYSA-N,414.15,bradley
O=C1C(=O)c2cccc3cccc1c23,AFPRJLBZLPBTPZ-UHFFFAOYSA-N,531.15,bradley
COc1ccc(OC)c(C=O)c1,AFUKNJHPZAVHGQ-UHFFFAOYSA-N,325.15,bradley
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,AFYCEAFSNDLKSX-UHFFFAOYSA-N,343.15,bradley
CCc1cccc(CC)c1,AFZZYIJIWUTJFO-UHFFFAOYSA-N,189.15,bradley
BrCc1ccccc1,AGEZXYOZHKGVCM-UHFFFAOYSA-N,270.15,bradley
c1ccc(Cc2ccc(-c3ccccc3)cc2)cc1,AGPLQTQFIZBOLI-UHFFFAOYSA-N,359.15,bradley
ClCCOCCOCCCl,AGYUOJIYYGGHKV-UHFFFAOYSA-N,241.15,bradley
CCOC(=O)C(C(=O)OCC)C(=O)OCC,AGZPNUZBDCYTBB-UHFFFAOYSA-N,301.15,bradley
BrC1c2ccccc2-c2ccccc21,AHCDKANCCBEQJJ-UHFFFAOYSA-N,376.15,bradley
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,AHJKRLASYNVKDZ-UHFFFAOYSA-N,382.15,bradley
COc1ccc2cc(OC)ccc2c1,AHKDVDYNDXGFPP-UHFFFAOYSA-N,426.15,bradley
Cn1c(=O)n(C)c(=O)n(C)c1=O,AHWDQDMGFXRVFB-UHFFFAOYSA-N,449.0,bradley
CCCCS(=O)(=O)CCCC,AIDFJGKWTOULTC-UHFFFAOYSA-N,317.15,bradley
CCCCCC#N,AILKHAQXUAOOFU-UHFFFAOYSA-N,193.15,bradley
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,AIONOLUJZLIMTK-AWEZNQCLSA-N,503.15,bradley
CCOC(=O)C(O)(c1ccccc1)c1ccccc1,AIPVNQQMYPWQSX-UHFFFAOYSA-N,303.15,bradley
Fc1ccc(Br)cc1,AITNMTXHTIIIBB-UHFFFAOYSA-N,257.15,bradley
CC(C)(C)c1ccc2oc(-c3ccc(-c4nc5cc(C(C)(C)C)ccc5o4)s3)nc2c1,AIXZBGVLNVRQSS-UHFFFAOYSA-N,472.15,bradley
CS(=O)(=O)c1ccc(C(=O)O)cc1,AJBWNNKDUMXZLM-UHFFFAOYSA-N,546.15,bradley
O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,AJKIRUJIDFJUKJ-UHFFFAOYSA-N,427.15,bradley
CCOB(OCC)OCC,AJSTXXYNEIHPMD-UHFFFAOYSA-N,188.15,bradley
OC(c1ccccc1)c1ccc(Cl)cc1,AJYOOHCNOXWTKJ-UHFFFAOYSA-N,333.15,bradley
O=C(O)c1cc(F)c(F)cc1F,AKAMNXFLKYKFOJ-UHFFFAOYSA-N,371.15,bradley
O=C1Cc2ccccc2C(=O)O1,AKHSBAVQPIRVAG-UHFFFAOYSA-N,415.15,bradley
CC(=O)Oc1ccc(OC(C)=O)cc1,AKOGNYJNGMLDOA-UHFFFAOYSA-N,394.15,bradley
c1ccc([SiH](c2ccccc2)c2ccccc2)cc1,AKQNYQDSIDKVJZ-UHFFFAOYSA-N,316.15,bradley
CCCC#CC(=O)O,AKYAUBWOTZJUBI-UHFFFAOYSA-N,298.15,bradley
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,ALFGKMXHOUSVAD-UHFFFAOYSA-N,429.15,bradley
O=C(O)c1cc2ccccc2cc1O,ALKYHXVLJMQRLQ-UHFFFAOYSA-N,493.15,bradley
Cc1ccccc1-c1ccccc1,ALLIZEAXNXSFGD-UHFFFAOYSA-N,273.15,bradley
CC(=O)Nc1cccc(C)c1,ALMHSXDYCFOZQD-UHFFFAOYSA-N,338.15,bradley
O=C=Nc1ccc(N=C=O)cc1,ALQLPWJFHRMHIU-UHFFFAOYSA-N,367.15,bradley
OCCCCCO,ALQSHHUCVQOPAS-UHFFFAOYSA-N,257.15,bradley
CCCSSCCC,ALVPFGSHPUPROW-UHFFFAOYSA-N,187.15,bradley
OCCCCCCCCCO,ALVZNPYWJMLXKV-UHFFFAOYSA-N,320.15,bradley
Nc1ccc(C(=O)O)cc1,ALYNCZNDIQEVRV-UHFFFAOYSA-N,462.15,bradley
CC(C)C=O,AMIMRNSIRUDHCM-UHFFFAOYSA-N,208.15,bradley
CCCCCO,AMQJEAYHLZJPGS-UHFFFAOYSA-N,195.15,bradley
