Number of components,Type of DES,Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),"Tmelt, K",Phase diagram (Yes/No),Reference (DOI),Smiles#1,T#1,Smiles#2,T#2,system_id
2,3,choline chloride,2-(2-aminoethylamino)ethanol (AEEA),0.2,0.8,241,No,10.1021/acs.jced.5c00130,C[N+](C)(C)CCO.[Cl-],575.15,NCCNCCO,245.15,
2,3,Tetrabutylammonium bromide,3-amino-1-propanol,0.2,0.8,277.34,No,10.1016/j.molliq.2020.113110,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],376.15,NCCCO,285.55,
2,3,Tetrabutylammonium bromide,3-amino-1-propanol,0.142857143,0.857142857,274.41,No,10.1016/j.molliq.2020.113110,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],376.15,NCCCO,285.55,
2,3,Tetrabutylammonium bromide,3-amino-1-propanol,0.111111111,0.888888889,276.02,No,10.1016/j.molliq.2020.113110,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],376.15,NCCCO,285.55,
2,3,Tetraethylammonium chloride,3-amino-1-propanol,0.2,0.8,272.37,No,10.1016/j.molliq.2020.113110,CC[N+](CC)(CC)CC.[Cl-],312.15,NCCCO,285.55,
2,3,Tetraethylammonium chloride,3-amino-1-propanol,0.142857143,0.857142857,272.19,No,10.1016/j.molliq.2020.113110,CC[N+](CC)(CC)CC.[Cl-],312.15,NCCCO,285.55,
2,3,Tetraethylammonium chloride,3-amino-1-propanol,0.111111111,0.888888889,271.81,No,10.1016/j.molliq.2020.113110,CC[N+](CC)(CC)CC.[Cl-],312.15,NCCCO,285.55,
2,3,Tetrabutylammonium chloride,3-amino-1-propanol,0.2,0.8,276.29,No,10.1016/j.molliq.2020.113110,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],323.15,NCCCO,285.55,
2,3,Tetrabutylammonium chloride,3-amino-1-propanol,0.142857143,0.857142857,273.91,No,10.1016/j.molliq.2020.113110,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],323.15,NCCCO,285.55,
2,3,Tetrabutylammonium chloride,3-amino-1-propanol,0.111111111,0.888888889,277.33,No,10.1016/j.molliq.2020.113110,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],323.15,NCCCO,285.55,
2,3,Choline chloride,Monoethanolamine,0.125,0.875,276.88,No,10.1016/j.molliq.2020.113159,C[N+](C)(C)CCO.[Cl-],575.15,NCCO,282.15,
2,3,ChCl,Ethylene glycol,0.333333,0.666667,207.15,No,10.1016/j.fluid.2012.01.025,C[N+](C)(C)CCO.[Cl-],575.15,C(CO)O,260.2,
2,3,ChCl,Urea,0.333333,0.666667,285.15,No,10.1039/B210714G,C[N+](C)(C)CCO.[Cl-],575.15,C(=O)(N)N,407.15,
2,3,ChCl,Oxalic acid,0.5,0.5,307.15,No,10.1021/ja048266j,C[N+](C)(C)CCO.[Cl-],575.15,C(=O)(C(=O)O)O,463.15,
2,3,ChCl,Citric acid,0.5,0.5,342.15,No,10.1021/ja048266j,C[N+](C)(C)CCO.[Cl-],575.15,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,422.15,
2,3,ChCl,Tartaric acid,0.666667,0.333333,320.15,No,10.1039/C1RA00630D,C[N+](C)(C)CCO.[Cl-],575.15,[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,444.15,
2,5,lidocaine,menthol,0.1,0.9,300,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1CCC(C(C1)O)C(C)C,310,
2,5,lidocaine,menthol,0.2,0.8,300,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1CCC(C(C1)O)C(C)C,310,
2,5,lidocaine,menthol,0.3,0.7,300,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1CCC(C(C1)O)C(C)C,310,
2,5,lidocaine,menthol,0.4,0.6,300,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1CCC(C(C1)O)C(C)C,310,
2,5,lidocaine,menthol,0.5,0.5,300,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1CCC(C(C1)O)C(C)C,310,
2,5,lidocaine,menthol,0.6,0.4,300,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1CCC(C(C1)O)C(C)C,310,
2,5,lidocaine,menthol,0.7,0.3,300,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1CCC(C(C1)O)C(C)C,310,
2,5,lidocaine,menthol,0.8,0.2,300,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1CCC(C(C1)O)C(C)C,310,
2,5,lidocaine,menthol,0.9,0.1,300,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1CCC(C(C1)O)C(C)C,310,
2,5,lidocaine,thymol,0.1,0.9,295,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1=CC(=C(C=C1)C(C)C)O,324.65,
2,5,lidocaine,thymol,0.2,0.8,295,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1=CC(=C(C=C1)C(C)C)O,324.65,
2,5,lidocaine,thymol,0.3,0.7,295,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1=CC(=C(C=C1)C(C)C)O,324.65,
2,5,lidocaine,thymol,0.4,0.6,295,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1=CC(=C(C=C1)C(C)C)O,324.65,
2,5,lidocaine,thymol,0.5,0.5,295,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1=CC(=C(C=C1)C(C)C)O,324.65,
2,5,lidocaine,thymol,0.6,0.4,295,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1=CC(=C(C=C1)C(C)C)O,324.65,
2,5,lidocaine,thymol,0.7,0.3,295,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1=CC(=C(C=C1)C(C)C)O,324.65,
2,5,lidocaine,thymol,0.8,0.2,295,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1=CC(=C(C=C1)C(C)C)O,324.65,
2,5,lidocaine,thymol,0.9,0.1,295,no,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,CC1=CC(=C(C=C1)C(C)C)O,324.65,
2,5,TOPO,decanoic acid,0.1,0.9,301.65,no,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCCCCCCCCC(=O)O,304.75,
2,5,TOPO,decanoic acid,0.2,0.8,293.65,no,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCCCCCCCCC(=O)O,304.75,
2,5,TOPO,decanoic acid,0.3,0.7,284.7,no,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCCCCCCCCC(=O)O,304.75,
2,5,TOPO,decanoic acid,0.4,0.6,258.15,no,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCCCCCCCCC(=O)O,304.75,
2,5,TOPO,decanoic acid,0.5,0.5,290.05,no,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCCCCCCCCC(=O)O,304.75,
2,5,TOPO,decanoic acid,0.6,0.4,306.43,no,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCCCCCCCCC(=O)O,304.75,
2,5,TOPO,decanoic acid,0.7,0.3,316,no,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCCCCCCCCC(=O)O,304.75,
2,5,TOPO,decanoic acid,0.8,0.2,320.11,no,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCCCCCCCCC(=O)O,304.75,
2,5,TOPO,decanoic acid,0.9,0.1,324.46,no,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCCCCCCCCC(=O)O,304.75,
2,5,TOPO,levulinic acid,0.1,0.9,291.15,no,10.1039/D0CP02605K,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CC(=O)CCC(=O)O,308,
2,5,TOPO,levulinic acid,0.2,0.8,286.15,no,10.1039/D0CP02605K,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CC(=O)CCC(=O)O,308,
2,5,TOPO,levulinic acid,0.3,0.7,300,,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CC(=O)CCC(=O)O,308,
2,5,TOPO,levulinic acid,0.4,0.8,300,,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CC(=O)CCC(=O)O,308,
2,5,TOPO,levulinic acid,0.5,0.5,282.15,no,10.1039/D0CP02605K,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CC(=O)CCC(=O)O,308,
2,5,TOPO,levulinic acid,0.6,0.4,307.15,no,10.1039/D0CP02605K,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CC(=O)CCC(=O)O,308,
2,5,TOPO,levulinic acid,0.67,0.33,313.15,no,10.1039/D0CP02605K,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CC(=O)CCC(=O)O,308,
2,5,TOPO,levulinic acid,0.7,0.3,315.15,no,10.1039/D0CP02605K,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CC(=O)CCC(=O)O,308,
2,5,TOPO,levulinic acid,0.8,0.2,320.15,no,10.1039/D0CP02605K,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CC(=O)CCC(=O)O,308,
2,5,TOPO,levulinic acid,0.9,0.1,322.15,no,10.1039/D0CP02605K,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CC(=O)CCC(=O)O,308,
2,5,TOPO,lidocaine,0.1,0.9,300,,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,
2,5,TOPO,lidocaine,0.2,0.8,300,,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,
2,5,TOPO,lidocaine,0.3,0.7,300,,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,
2,5,TOPO,lidocaine,0.4,0.6,300,,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,
2,5,TOPO,lidocaine,0.5,0.5,300,,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,
2,5,TOPO,lidocaine,0.6,0.4,300,,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,
2,5,TOPO,lidocaine,0.7,0.3,300,,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,
2,5,TOPO,lidocaine,0.8,0.2,300,,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,
2,5,TOPO,lidocaine,0.9,0.1,300,,,CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,325.15,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,341,
